epoch,train_loss,train_acc,val_acc,lr
0,0.72263,0.77998,0.96847,0.000099
1,0.12260,0.96713,0.98814,0.000099
2,0.09256,0.97072,0.98938,0.000097
3,0.05731,0.98275,0.98720,0.000094
4,0.03374,0.99094,0.98970,0.000090
5,0.02787,0.99227,0.99188,0.000085
6,0.01145,0.99774,0.99500,0.000050
7,0.01000,0.99789,0.99532,0.000049
8,0.00815,0.99813,0.99001,0.000047
9,0.00595,0.99891,0.99407,0.000045
10,0.00681,0.99859,0.99376,0.000043
11,0.00297,0.99969,0.99625,0.000040
12,0.00161,0.99984,0.99563,0.000036
13,0.00078,1.00000,0.99657,0.000033
14,0.00068,1.00000,0.99625,0.000029
15,0.00032,1.00000,0.99563,0.000025
16,0.00028,1.00000,0.99657,0.000021
17,0.00124,1.00000,0.99438,0.000017
18,0.00069,1.00000,0.99469,0.000014
19,0.00025,1.00000,0.99657,0.000010
